file_name,cluster,is_tumour,is_tumour_numeric,approximate_gleason,approximate_gleason_numeric,approximate_grade,approximate_grade_numeric,inflammatory_cells,inflammatory_cells_numeric,annotator
C13-I1.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I10.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C13-I12.png,C13,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I15.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I17.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I19.png,C13,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I21.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I24.png,C13,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I26.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I27.png,C13,yes,1,4+4 and above,3,high,2,yes,1,Richard Colling
C13-I29.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I3.png,C13,yes,1,4+4 and above,3,high,2,yes,1,Richard Colling
C13-I31.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I34.png,C13,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I37.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I39.png,C13,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I41.png,C13,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I42.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I44.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I46.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C13-I49.png,C13,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I5.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I51.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I53.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I55.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I56.png,C13,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C13-I58.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C13-I60.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I7.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C13-I9.png,C13,yes,1,3+4,1,low,0,yes,1,Richard Colling
C9-I1.png,C9,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C9-I10.png,C9,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C9-I15.png,C9,yes,1,4+4 and above,3,high,2,yes,1,Richard Colling
C9-I16.png,C9,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C9-I19.png,C9,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C9-I20.png,C9,yes,1,4+4 and above,3,high,2,yes,1,Richard Colling
C9-I23.png,C9,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C9-I25.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I27.png,C9,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C9-I28.png,C9,no,0,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C9-I3.png,C9,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C9-I30.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I31.png,C9,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C9-I33.png,C9,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C9-I34.png,C9,no,0,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C9-I38.png,C9,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C9-I39.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I4.png,C9,yes,1,4+4 and above,3,high,2,yes,1,Richard Colling
C9-I42.png,C9,yes,1,3+4,1,low,0,yes,1,Richard Colling
C9-I45.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I47.png,C9,yes,1,4+3,2,low,0,no,0,Richard Colling
C9-I48.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I51.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I55.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I56.png,C9,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C9-I59.png,C9,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C9-I6.png,C9,yes,1,3+4,1,low,0,no,0,Richard Colling
C9-I60.png,C9,yes,1,3+4,1,low,0,yes,1,Richard Colling
C9-I7.png,C9,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C9-I9.png,C9,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I10.png,C15,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C15-I15.png,C15,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C15-I16.png,C15,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C15-I19.png,C15,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C15-I2.png,C15,yes,1,3+4,1,low,0,no,0,Richard Colling
C15-I21.png,C15,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C15-I23.png,C15,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C15-I24.png,C15,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C15-I27.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I29.png,C15,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C15-I31.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I32.png,C15,no,0,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C15-I35.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I36.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I38.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I39.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I4.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I42.png,C15,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C15-I43.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I45.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I48.png,C15,no,0,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C15-I49.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I51.png,C15,yes,1,Grade 3+3 and below,0,low,0,yes,1,Richard Colling
C15-I52.png,C15,yes,1,3+4,1,low,0,no,0,Richard Colling
C15-I54.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I55.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I59.png,C15,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C15-I60.png,C15,yes,1,3+4,1,low,0,yes,1,Richard Colling
C15-I7.png,C15,yes,1,3+4,1,low,0,no,0,Richard Colling
C15-I8.png,C15,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C2-I10.png,C2,yes,1,3+4,1,low,0,no,0,Richard Colling
C2-I13.png,C2,yes,1,3+4,1,low,0,no,0,Richard Colling
C2-I14.png,C2,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C2-I15.png,C2,yes,1,3+4,1,low,0,yes,1,Richard Colling
C2-I16.png,C2,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C2-I19.png,C2,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C2-I22.png,C2,yes,1,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C2-I23.png,C2,yes,1,3+4,1,low,0,no,0,Richard Colling
C2-I24.png,C2,yes,1,3+4,1,low,0,no,0,Richard Colling
C2-I25.png,C2,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C2-I26.png,C2,yes,1,3+4,1,low,0,no,0,Richard Colling
C2-I28.png,C2,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C2-I29.png,C2,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C2-I3.png,C2,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C2-I32.png,C2,no,0,Grade 3+3 and below,0,low,0,no,0,Richard Colling
C2-I33.png,C2,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C2-I4.png,C2,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C2-I40.png,C2,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C2-I42.png,C2,yes,1,3+4,1,low,0,yes,1,Richard Colling
C2-I43.png,C2,yes,1,4+3,2,intermediate,1,no,0,Richard Colling
C2-I46.png,C2,yes,1,3+4,1,low,0,yes,1,Richard Colling
C2-I47.png,C2,yes,1,3+4,1,low,0,yes,1,Richard Colling
C2-I48.png,C2,yes,1,3+4,1,low,0,yes,1,Richard Colling
C2-I50.png,C2,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C2-I54.png,C2,yes,1,4+4 and above,3,high,2,yes,1,Richard Colling
C2-I58.png,C2,yes,1,3+4,1,low,0,yes,1,Richard Colling
C2-I59.png,C2,yes,1,4+3,2,intermediate,1,yes,1,Richard Colling
C2-I7.png,C2,yes,1,4+4 and above,3,high,2,no,0,Richard Colling
C2-I8.png,C2,yes,1,4+4 and above,3,high,2,yes,1,Richard Colling
C2-I9.png,C2,yes,1,3+4,1,low,0,no,0,Richard Colling
C13-I1.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I10.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I12.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I15.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I17.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I19.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I21.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I24.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I26.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I27.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I29.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I3.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I31.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I34.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I37.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I39.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I41.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I42.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I44.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I46.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I49.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I5.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I51.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I53.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I55.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I56.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I58.png,C13,yes,1,Grade 3+3 and below,0,low,0,no,0,Clare Verrill
C13-I60.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I7.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C13-I9.png,C13,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C9-I1.png,C9,yes,1,4+3,2,intermediate,1,no,0,Clare Verrill
C9-I10.png,C9,yes,1,4+4 and above,3,high,2,no,0,Clare Verrill
C9-I15.png,C9,yes,1,4+3,2,intermediate,1,no,0,Clare Verrill
C9-I16.png,C9,yes,1,4+4 and above,3,high,2,no,0,Clare Verrill
C9-I19.png,C9,yes,1,4+3,2,intermediate,1,no,0,Clare Verrill
C9-I20.png,C9,yes,1,4+4 and above,3,high,2,no,0,Clare Verrill
C9-I23.png,C9,yes,1,4+4 and above,3,high,2,no,0,Clare Verrill
C9-I25.png,C9,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C9-I27.png,C9,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C9-I28.png,C9,yes,1,3+4,1,intermediate,1,yes,1,Clare Verrill
C9-I3.png,C9,yes,1,4+3,2,intermediate,1,no,0,Clare Verrill
C9-I30.png,C9,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C9-I31.png,C9,yes,1,3+4,1,intermediate,1,no,0,Clare Verrill
C9-I33.png,C9,yes,1,4+3,2,intermediate,1,no,0,Clare Verrill
